English Name,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Migration status,Occurrence status
Blue-fronted Redstart ,Phoenicurus frontalis ,LC,LC,w,4
"White-capped Water
redstart","Phoenicurus
leucocephalus",LC,LC,r,2
"Plumbeous Water
redstart","Phoenicurus
fuliginosus",LC,LC,r,2
Black Redstart ,Phoenicurus ochruros ,LC,LC,w,2
Hodgson's Redstart ,"Phoenicurus
hodgsoni",LC,LC,w,4
Blue-capped Rock-thrush ,"Monticola
cinclorhyncha",LC,LC,s,3
"Chestnut-bellied Rock
thrush",Monticola rufiventris ,LC,LC,w,4
White-tailed Stonechat ,Saxicola leucurus ,NT ,LC,r,1
Blue Rock-thrush ,Monticola solitarius ,LC,LC,w,3
Jerdon's Bushchat ,Saxicola jerdoni ,CR ,LC,r,4
Grey Bushchat ,Saxicola ferreus ,LC,LC,w,3
White-throated Bushchat ,Saxicola insignis ,VU ,EN ,w,5
Pied Bushchat ,Saxicola caprata ,LC,LC,r,1
Common Stonechat ,Saxicola torquatus ,LC,LC,r,1
Red-tailed Wheatear ,"Oenanthe
chrysopygia",LC,LC,v,2
Desert Wheatear ,Oenanthe deserti ,LC,LC,w,4
Brown Rockchat ,Oenanthe fusca ,LC,LC,w,3
Golden-fronted Leafbird ,Chloropsis aurifrons ,LC,LC,r,2
Orange-bellied Leafbird ,Chloropsis hardwickii ,LC,LC,r,2
"Thick-billed
Flowerpecker",Dicaeum agile ,LC,LC,r,2
Pale-billed Flowerpecker ,"Dicaeum
erythrorhynchos",LC,LC,r,3
"Fire-breasted
Flowerpecker",Dicaeum ignipectus ,LC,LC,r,3
Little Spiderhunter ,"Arachnothera
longirostra",LC,LC,r,5
Streaked Spiderhunter ,Arachnothera magna ,LC,LC,r,3
Ruby-cheeked Sunbird ,"Chalcoparia
singalensis",LC,LC,r,3
Purple Sunbird ,Cinnyris asiaticus ,LC,LC,r,1
Fire-tailed Sunbird ,Aethopyga ignicauda ,LC,LC,r,4
Green-tailed Sunbird ,Aethopyga nipalensis ,LC,LC,r,3
Crimson Sunbird ,Aethopyga siparaja ,LC,LC,r,2
Black-breasted Weaver ,Ploceus benghalensis ,VU ,LC,r,3
Baya Weaver ,Ploceus philippinus ,NT ,LC,r,1
Red Avadavat ,Amandava amandava ,NT ,LC,r,2
Indian Silverbill ,Euodice malabarica ,LC,LC,r,3
White-rumped Munia ,Lonchura striata ,LC,LC,r,3
Scaly-breasted Munia ,Lonchura punctulata ,LC,LC,r,1
Tricoloured Munia ,Lonchura malacca ,LC,LC,r,3
House Sparrow ,Passer domesticus ,LC,LC,r,1
Eurasian Tree Sparrow ,Passer montanus ,LC,LC,r,3
"Chestnut-shouldered
Bush-sparrow","Gymnoris
xanthocollis",LC,LC,r,1
Tree Pipit ,Anthus trivialis ,LC,LC,w,3
Olive-backed Pipit ,Anthus hodgsoni ,LC,LC,w,1
Rosy Pipit ,Anthus roseatus ,LC,LC,w,1
Water Pipit ,Anthus spinoletta ,LC,LC,w,4
Richard's Pipit ,Anthus richardi ,LC,LC,r,2
Paddyfield Pipit ,Anthus rufulus ,LC,LC,r,1
Western Yellow Wagtail ,Motacilla flava ,LC,LC,w,2
Grey Wagtail ,Motacilla cinerea ,LC,LC,w,3
Citrine Wagtail ,Motacilla citreola ,LC,LC,w,1
White-browed Wagtail ,"Motacilla
maderaspatensis",LC,LC,r,1
White Wagtail ,Motacilla alba ,LC,LC,w,1
Forest Wagtail ,"Dendronanthus
indicus",LC,LC,v,2
Common Rosefinch ,"Carpodacus
erythrinus",LC,LC,w,2
Blanford's Rosefinch ,"Agraphospiza
rubescens",LC,LC,w,5
"Yellow-breasted
Greenfinch",Chloris spinoides ,LC,LC,w,3
Eastern Goldfinch ,Carduelis carduelis ,LC,LC,w,5
Crested Bunting ,Emberiza lathami ,LC,LC,w,2
Black-headed Bunting ,"Emberiza
melanocephala",VU ,LC,w,4
Yellow-breasted Bunting ,Emberiza aureola ,CR ,CR ,w,3
Little Bunting ,Emberiza pusilla ,VU ,LC,w,4
Black-faced Bunting ,"Emberiza
spodocephala",VU ,LC,w,3
