S N,English Name,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Migration status,Occurrence status
91,Eurasian Bittern ,Botaurus stellaris ,EN ,,,w,5
92,Yellow Bittern ,Ixobrychus sinensis ,CR ,,,s,2
93,Cinnamon Bittern ,"Ixobrychus
cinnamomeus",,,,s,2
94,Black Bittern ,Ixobrychus flavicollis ,EN ,,,r,5
95,"Black-crowned Night
heron",Nycticorax nycticorax ,,,,r,2
96,Green-backed Heron ,Butorides striata ,,,,r,2
97,Indian Pond Heron ,Ardeola grayii ,,,,r,1
98,Cattle Egret ,Bubulcus ibis ,,,,r,1
99,Grey Heron ,Ardea cinerea ,,,,w,2
100,Purple Heron ,Ardea purpurea ,,,,r,3
101,Great White Egret ,Casmerodius albus ,,,,r,1
102,Intermediate Egret ,"Mesophoyx
intermedia",,,,r,1
Phalacrocoracidae,,,,,,,
103,Little Cormorant ,Phalacrocorax niger ,,,,r,1
104,Great Cormorant ,"Phalacrocorax
fusicollis",NT ,,,w,1
Anhingidae,,,,,,,
105,Oriental Darter ,"Anhinga
melanogaster",NT ,,,r,1
Burhinidae,,,,,,,
106,Indian Thick-knee ,Burhinus indicus ,,,,r,2
107,Great Thick-knee ,Esacus recurvirostris ,CR ,,,r,4
Ibidorhynchidae,,,,,,,
108,Ibisbill ,"Ibidorhyncha
struthersii",EN ,,,w,4
Recurvirostridae,,,,,,,
109,Pied Avocet ,"Recurvirostra
avosetta",,,,w,5
110,Black-winged Stilt ,"Himantopus
himantopus",,,,w,5
Charadriidae,,,,,,,
111,Pacific Golden Plover ,Pluvialis fulva ,NT ,,,w,4
112,Little Ringed Plover ,Charadrius dubius ,,,,r,1
113,Kentish Plover ,"Charadrius
alexandrinus",,,,w,3
114,Greater Sandplover ,"Charadrius
leschenaultii",,,,v,
115,Northern Lapwing ,Vanellus vanellus ,NT ,,,w,4
116,River Lapwing ,Vanellus duvaucelii ,NT ,,,r,2
117,Yellow-wattled Lapwing ,Vanellus malabaricus ,VU ,,,r,5
118,Grey-headed Lapwing ,Vanellus cinereus ,,,,w,4
119,Red-wattled Lapwing ,Vanellus indicus ,,,,r,1
Rostratulidae,,,,,,,
120,Greater Painted-snipe ,"Rostratula
benghalensis",,,,r,4
Jacanidae,,,,,,,
121,Pheasant-tailed Jacana ,"Hydrophasianus
chirurgus",VU ,,,s,3
122,Bronze-winged Jacana ,Metopidius indicus ,,,,r,2
Scolopacidae,,,,,,,
123,Whimbrel ,Numenius phaeopus ,,,,w,5
124,Eurasian Curlew ,Numenius arquata ,CR ,,,w,4
125,Temminck's Stint ,Calidris temminckii ,,,,w,2
126,Sanderling ,Calidris alba ,,,,w,5
127,Little Stint ,Calidris minuta ,,,,w,3
128,Pintail Snipe ,Gallinago stenura ,,,,r,2
129,Common Snipe ,Gallinago gallinago ,,,,r,2
130,Jack Snipe ,"Lymnocryptes
minimus",,,,r,4
131,Common Sandpiper ,Actitis hypoleucos ,,,,w,1
132,Green Sandpiper ,Tringa ochropus ,,,,w,1
133,Spotted Redshank ,Tringa erythropus ,,,,w,3
134,Common Greenshank ,Tringa nebularia ,,,,w,1
135,Common Redshank ,Tringa totanus ,,,,w,2
136,Wood Sandpiper ,Tringa glareola ,,,,w,3
137,Marsh Sandpiper ,Tringa stagnatilis ,,,,w,5
Turnicidae,,,,,,,
138,Common Buttonquail ,Turnix sylvaticus ,NT ,,,r,4
